unit_id,timestamp,latitude,longitude,dist_diff,distance_by_interval,flag,rank,cluster_number,alert_info
1412130,2017-03-26T00:33:00.000Z,18.49232070384742,73.81532434213248,10.43365941826881,35.31496764873609,1.0,6,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""unit_id 1410670 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T00:34:00.000Z,18.75302302337352,73.60780229119651,nan.0,61.90743447773605,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:34:00.000Z,18.48881935580391,73.81662782221741,26.17958161843333,35.72785285930271,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410947,2017-03-26T00:35:00.000Z,17.79924515929832,73.69261272158366,nan.0,135.9711874154969,nan.0,2,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:35:00.000Z,18.75683777959568,73.59650068914149,72.80045532030141,63.17073209519545,1.0,4,"outlier","[ ""unit_id 1410947 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1412130,2017-03-26T00:35:00.000Z,18.48412568158162,73.81206592839931,26.73306597563334,36.43766611956212,1.0,6,"outlier","[ ""unit_id 1410947 is move ahead of your cluster outlier"", ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T00:36:00.000Z,18.75724457997384,73.58684920693025,nan.0,64.18793744387051,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:36:00.000Z,18.48363924000267,73.81384782864728,27.55472475210075,36.63321269176976,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:37:00.000Z,18.75781581937809,73.57579569581009,nan.0,65.35348407736565,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:37:00.000Z,18.48364095887751,73.81386444443737,28.71850827958091,36.63497579778474,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:38:00.000Z,18.76097281949586,73.56510257544747,nan.0,66.53279933270224,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:38:00.000Z,18.483635802253,73.81386788218704,29.89714961577159,36.63564971693065,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:39:00.000Z,18.76109084890135,73.55710235899656,nan.0,67.37521990573279,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:39:00.000Z,18.48369768174714,73.81067765048908,30.40306172611136,36.97215817962143,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:40:00.000Z,18.76119799209954,73.55712756916084,nan.0,67.3874259414807,nan.0,4,"outlier","[ ""You are outside the cluster"" ]"
1412130,2017-03-26T00:40:00.000Z,18.48024732699048,73.80540929911287,29.74007335181152,37.64735258966918,1.0,6,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410665,2017-03-26T00:40:00.000Z,18.59322266750276,73.73566595259089,34.69144651950032,2.955906070168867,1.0,8,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""unit_id 1412130 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T00:41:00.000Z,18.7633826820177,73.5551038805191,nan.0,67.7105521530282,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:41:00.000Z,18.48407067758683,73.80026126897526,29.37363960761726,38.33691254541095,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:42:00.000Z,18.76646118685125,73.55251926572214,nan.0,68.14784862675972,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:42:00.000Z,18.48864746832018,73.79370949105389,28.95280879988408,39.19503982687564,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:43:00.000Z,18.76506259569199,73.54570048924271,nan.0,68.88240780633811,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:43:00.000Z,18.4949677710968,73.78781260444552,28.74896291187121,40.1334448944669,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:44:00.000Z,18.76390923067618,73.54123599833206,nan.0,69.36963263288403,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:44:00.000Z,18.50326764472767,73.79257617957786,28.18543913417033,41.1841934987137,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:45:00.000Z,18.76511416193711,73.54385384470922,nan.0,69.6760918761254,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:45:00.000Z,18.5072726230985,73.78622092634622,27.68728663799286,41.98880523813254,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:46:00.000Z,18.76641133948096,73.55286074885647,nan.0,70.63528180184205,nan.0,4,"outlier","[ ""You are outside the cluster"" ]"
1412130,2017-03-26T00:46:00.000Z,18.50696609041918,73.78337275074087,28.34422440285142,42.29105739899063,1.0,6,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1411607,2017-03-26T00:46:00.000Z,18.51739393109859,73.87103250264994,41.77251800580037,0.5185393931902615,1.0,10,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""unit_id 1412130 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T00:47:00.000Z,18.76365254536715,73.55456931044471,,70.99089772890898,,4,0,"[]"
1410656,2017-03-26T00:48:00.000Z,18.76277248145048,73.5586659621402,,71.43317799546146,,4,0,"[]"
1410656,2017-03-26T00:49:00.000Z,18.76488096791752,73.56261421764138,,71.91042925525473,,4,0,"[]"
1410656,2017-03-26T00:50:00.000Z,18.76800129870543,73.56059912337383,,72.31711707160281,,4,0,"[]"
1410656,2017-03-26T00:51:00.000Z,18.77103282096009,73.55829411221706,,72.73247346181925,,4,0,"[]"
1410656,2017-03-26T00:52:00.000Z,18.77412966045856,73.5558189324514,nan.0,73.16431148091188,nan.0,4,0,"[ ""unit_id 1412129 is left behind of your cluster 0"" ]"
1412129,2017-03-26T00:52:00.000Z,18.49829895053142,73.85020432328852,71.90165383772435,1.262657643187524,1.0,9,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:53:00.000Z,18.77998586702912,73.55644918655841,,73.81886359814138,,4,0,"[]"
1410656,2017-03-26T00:54:00.000Z,18.78332793267104,73.55289569931149,,74.34616363661095,,4,0,"[]"
1410656,2017-03-26T00:55:00.000Z,18.78714440776804,73.54497225926998,nan.0,75.28202686766801,nan.0,4,0,"[ ""unit_id 1410671 is left behind of your cluster 0"" ]"
1410671,2017-03-26T00:55:00.000Z,18.55539939966705,73.71652284352828,58.43834262959014,16.84368423807787,1.0,7,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:56:00.000Z,18.79165129759135,73.53960936977774,,76.03691636573028,,4,0,"[]"
1410656,2017-03-26T00:57:00.000Z,18.79470115451093,73.53514888957503,nan.0,76.61611990204327,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:57:00.000Z,18.50696609041918,73.7833910854058,34.32312956874928,42.29299033329399,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T00:58:00.000Z,18.79842595628328,73.53140747201257,,77.18765620267889,,4,0,"[]"
1410656,2017-03-26T00:59:00.000Z,18.79858294685175,73.53161889361756,nan.0,77.21594076742645,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T00:59:00.000Z,18.50696437154435,73.78339280428064,34.92268876761062,42.29325199981583,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410765,2017-03-26T01:00:00.000Z,17.79920218742739,73.69253938292394,nan.0,137.2788670695369,nan.0,1,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:00:00.000Z,18.79930945794964,73.52996075235788,59.87059640026871,77.40827066926818,1.0,4,"outlier","[ ""unit_id 1410765 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1412130,2017-03-26T01:00:00.000Z,18.50765421331237,73.77900623569595,34.64616275916153,42.76210791010664,1.0,6,"outlier","[ ""unit_id 1410765 is move ahead of your cluster outlier"", ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T01:01:00.000Z,18.80339465047954,73.52307264792668,nan.0,78.26386911122151,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:01:00.000Z,18.50770749843232,73.77130453050843,34.68964061227088,43.57422849895063,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:02:00.000Z,18.80553636852677,73.51591754493744,nan.0,79.05376880896779,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:02:00.000Z,18.50410760156482,73.76323269427265,34.53897418637437,44.51479462259342,1.0,6,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:03:00.000Z,18.81092274930847,73.51746567820753,nan.0,79.67447850052666,nan.0,4,"outlier","[ ""You are outside the cluster"" ]"
1410670,2017-03-26T01:03:00.000Z,18.60652102916039,73.7607076671367,33.92508604068014,45.74939245984652,1.0,5,1,"[ ""unit_id 1410656 is move ahead of your cluster 1"" ]"
1412130,2017-03-26T01:03:00.000Z,18.50009574769464,73.75364939409663,0.1299784317967294,45.61941402804979,0.0,6,1,"[ ""unit_id 1410656 is move ahead of your cluster 1"" ]"
1410656,2017-03-26T01:04:00.000Z,18.81117771574267,73.51769887222713,nan.0,79.7119783536111,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:04:00.000Z,18.5010858196009,73.74363121858677,33.03044261372276,46.68153573988834,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
